,image_id,x1,y1,x2,y2,filename,x1p,y1p,x2p,y2p
0,146,311.0,77.0,373.0,126.0,./cimalab/thyroid/106_2.jpg,0.5553571428571429,0.21388888888888888,0.6660714285714285,0.35
1,147,258.0,72.0,328.0,123.0,./cimalab/thyroid/106_3.jpg,0.4607142857142857,0.2,0.5857142857142857,0.3416666666666667
2,148,268.0,92.0,328.0,141.0,./cimalab/thyroid/106_4.jpg,0.4785714285714286,0.25555555555555554,0.5857142857142857,0.39166666666666666
3,150,237.0,82.0,348.0,152.0,./cimalab/thyroid/108_1.jpg,0.4232142857142857,0.22777777777777777,0.6214285714285714,0.4222222222222222
4,151,197.0,127.0,300.0,202.0,./cimalab/thyroid/109_1.jpg,0.3517857142857143,0.3527777777777778,0.5357142857142857,0.5611111111111111
5,152,277.0,79.0,392.0,173.0,./cimalab/thyroid/10_1.jpg,0.49464285714285716,0.21944444444444444,0.7,0.48055555555555557
6,154,276.0,113.0,358.0,163.0,./cimalab/thyroid/111_1.jpg,0.4928571428571429,0.3138888888888889,0.6392857142857142,0.4527777777777778
7,155,257.0,106.0,343.0,186.0,./cimalab/thyroid/112_1.jpg,0.4589285714285714,0.29444444444444445,0.6125,0.5166666666666667
8,156,235.0,100.0,336.0,151.0,./cimalab/thyroid/113_1.jpg,0.41964285714285715,0.2777777777777778,0.6,0.41944444444444445
9,157,231.0,82.0,320.0,166.0,./cimalab/thyroid/114_2.jpg,0.4125,0.22777777777777777,0.5714285714285714,0.46111111111111114
10,162,227.0,73.0,443.0,220.0,./cimalab/thyroid/119_1.jpg,0.40535714285714286,0.20277777777777778,0.7910714285714285,0.6111111111111112
11,163,238.0,56.0,343.0,159.0,./cimalab/thyroid/11_1.jpg,0.425,0.15555555555555556,0.6125,0.44166666666666665
12,272,133.0,35.0,421.0,296.0,./cimalab/thyroid/1_1.jpg,0.2375,0.09722222222222222,0.7517857142857143,0.8222222222222222
13,273,136.0,35.0,419.0,296.0,./cimalab/thyroid/1_2.jpg,0.24285714285714285,0.09722222222222222,0.7482142857142857,0.8222222222222222
14,176,197.0,57.0,346.0,157.0,./cimalab/thyroid/12_1.jpg,0.3517857142857143,0.15833333333333333,0.6178571428571429,0.4361111111111111
15,192,182.0,100.0,400.0,234.0,./cimalab/thyroid/13_1.jpg,0.325,0.2777777777777778,0.7142857142857143,0.65
16,178,214.0,39.0,417.0,217.0,./cimalab/thyroid/130_2.jpg,0.3821428571428571,0.10833333333333334,0.7446428571428572,0.6027777777777777
17,177,144.0,36.0,403.0,207.0,./cimalab/thyroid/130_1.jpg,0.2571428571428571,0.1,0.7196428571428571,0.575
18,181,266.0,102.0,344.0,183.0,./cimalab/thyroid/132_2.jpg,0.475,0.2833333333333333,0.6142857142857143,0.5083333333333333
19,186,178.0,56.0,427.0,306.0,./cimalab/thyroid/137_1.jpg,0.31785714285714284,0.15555555555555556,0.7625,0.85
20,188,220.0,56.0,369.0,195.0,./cimalab/thyroid/138_2.jpg,0.39285714285714285,0.15555555555555556,0.6589285714285714,0.5416666666666666
21,191,103.0,60.0,242.0,130.0,./cimalab/thyroid/139_3.jpg,0.18392857142857144,0.16666666666666666,0.43214285714285716,0.3611111111111111
22,190,190.0,61.0,292.0,146.0,./cimalab/thyroid/139_2.jpg,0.3392857142857143,0.16944444444444445,0.5214285714285715,0.40555555555555556
23,193,245.0,119.0,329.0,192.0,./cimalab/thyroid/140_1.jpg,0.4375,0.33055555555555555,0.5875,0.5333333333333333
24,194,237.0,113.0,358.0,180.0,./cimalab/thyroid/141_1.jpg,0.4232142857142857,0.3138888888888889,0.6392857142857142,0.5
25,197,270.0,93.0,348.0,136.0,./cimalab/thyroid/143_1.jpg,0.48214285714285715,0.25833333333333336,0.6214285714285714,0.37777777777777777
